code,group,region
01,Южные регионы,Адыгея
02,Промышленные центры,Башкортостан
03,Дальний Восток,Бурятия
04,Дальний Восток,Алтай
05,Южные регионы,Дагестан
06,Южные регионы,Ингушетия
07,Южные регионы,Кабардино-Балкария
08,Южные регионы,Калмыкия
09,Южные регионы,Карачаево-Черкесия
10,Промышленные центры,Карелия
11,Промышленные центры,Коми
12,Промышленные центры,Марий Эл
13,Промышленные центры,Мордовия
14,Дальний Восток,Саха (Якутия)
15,Южные регионы,Северная Осетия — Алания
16,Промышленные центры,Татарстан
17,Дальний Восток,Тыва
18,Промышленные центры,Удмуртия
19,Дальний Восток,Хакасия
20,Южные регионы,Чеченская Республика
21,Промышленные центры,Чувашия
22,Промышленные центры,Алтайский край
23,Южные регионы,Краснодарский край
24,Промышленные центры,Красноярский край
25,Дальний Восток,Приморский край
26,Южные регионы,Ставропольский край
27,Дальний Восток,Хабаровский край
28,Дальний Восток,Амурская область
29,Промышленные центры,Архангельская область
30,Южные регионы,Астраханская область
31,Промышленные центры,Белгородская область
32,Промышленные центры,Брянская область
33,Промышленные центры,Владимирская область
34,Южные регионы,Волгоградская область
35,Промышленные центры,Вологодская область
36,Промышленные центры,Воронежская область
37,Промышленные центры,Ивановская область
38,Промышленные центры,Иркутская область
39,Промышленные центры,Калининградская область
40,Промышленные центры,Калужская область
41,Дальний Восток,Камчатский край
42,Промышленные центры,Кемеровская область
43,Промышленные центры,Кировская область
44,Промышленные центры,Костромская область
45,Промышленные центры,Курганская область
46,Промышленные центры,Курская область
47,Промышленные центры,Ленинградская область
48,Промышленные центры,Липецкая область
49,Дальний Восток,Магаданская область
50,Промышленные центры,Московская область
51,Промышленные центры,Мурманская область
52,Промышленные центры,Нижегородская область
53,Промышленные центры,Новгородская область
54,Промышленные центры,Новосибирская область
55,Промышленные центры,Омская область
56,Промышленные центры,Оренбургская область
57,Промышленные центры,Орловская область
58,Промышленные центры,Пензенская область
59,Промышленные центры,Пермский край
60,Промышленные центры,Псковская область
61,Южные регионы,Ростовская область
62,Промышленные центры,Рязанская область
63,Промышленные центры,Самарская область
64,Промышленные центры,Саратовская область
65,Дальний Восток,Сахалинская область
66,Промышленные центры,Свердловская область
67,Промышленные центры,Смоленская область
68,Промышленные центры,Тамбовская область
69,Промышленные центры,Тверская область
70,Промышленные центры,Томская область
71,Промышленные центры,Тульская область
72,Промышленные центры,Тюменская область
73,Промышленные центры,Ульяновская область
74,Промышленные центры,Челябинская область
75,Дальний Восток,Забайкальский край
76,Промышленные центры,Ярославская область
77,Столицы,Москва
78,Столицы,Санкт-Петербург
79,Дальний Восток,Еврейская автономная область
83,Промышленные центры,Ненецкий автономный округ
86,Промышленные центры,Ханты-Мансийский автономный округ — Югра
87,Дальний Восток,Чукотский автономный округ
89,Промышленные центры,Ямало-Ненецкий автономный округ
90,Южные регионы,Запорожская область
91,Южные регионы,Крым
92,Южные регионы,Севастополь
93,Южные регионы,Донецкая Народная Республика
94,Южные регионы,Луганская Народная Республика
95,Южные регионы,Херсонская область